編號,供應商簡稱,分類
16961,台灣維根鳳梨,水果
16965,愛花果手工烘焙綠色學院,食品加工品
16968,童顏有機,電器3c/美妝
17014,咖啡先生,茶/咖啡
17023,my home8,運動/園藝/生活/其他
17087,海邊走走*手工愛餡蛋捲第一品牌*,甜點
17195,將軍山農場,水果
17244,迎光生技,運動/園藝/生活/其他
17287,島道工作室,運動/園藝/生活/其他
17295,牧蜂農莊,農產品/原住民/花東
17348,半畝咖啡，好咖共和國,茶/咖啡
17367,人山艸 ,茶/咖啡
17396,菲妮克斯烘焙坊,#N/A
17427,水野菜,農產品/原住民/花東
17431,鈜景食品,生鮮水產/肉品
17443,layoo 來喲,#N/A
17444,旗聚一堂,食品加工品
17453,清亮生態農場,農產品/原住民/花東
17549,賣福食品工坊,#N/A
17628,Paralife,運動/園藝/生活/其他
17666,捷元,#N/A
17668,LOVERAMICS,運動/園藝/生活/其他
17671,RIESS,運動/園藝/生活/其他
17673,拍拍PETS,#N/A
17677,KINTO,運動/園藝/生活/其他
17678,老師傅手熬養生茶,茶/咖啡
17694,苗栗銅鑼 陳大哥無毒杭菊,農產品/原住民/花東
17718,毛の果醬,茶/咖啡
17778,宜蘭香檬不老傳奇,飲料
17805,博士蝦Dr.Shrimp,生鮮水產/肉品
17858,諾亞文創-雲林好物、好遊,#N/A
17878,六龜新威 徐家橙蜜小番茄,#N/A
17880,華僑國際股份有限公司,運動/園藝/生活/其他
17917,華僑生技股份有限公司,飲料
17919,PHILIPS飛利浦 空氣清淨機,電器3c/美妝
17931,石門生態有機農場,農產品/原住民/花東
17934,洪爺滴雞精,飲料
17936,【限食包果】夢想果園,食品加工品
17940,暐承生技有限公司,#N/A
17944,德國alfi 保溫瓶,#N/A
17947,葡園仙境,水果
17951,美人滴雞精,飲料
18043,KOPER設計館,運動/園藝/生活/其他
18062,幸福農田100%薑黃粉,食品加工品
18075,釋迦小羊牧場,#N/A
18084,Butygo美麗購,運動/園藝/生活/其他
18091,我愛你學田市集,#N/A
18120,棗健康有機農場,水果
18122,旭家蒟蒻,食品加工品
18129,菇媽媽,農產品/原住民/花東
18147,果木小薰,#N/A
18196,石棹製茶,茶/咖啡
18215,健康加油站,#N/A
18222,荷豐小農-藕達人,農產品/原住民/花東
18229,屏東九如 范大姊小番茄,水果
18232,丁丁民宿開心農場,#N/A
18241,Vintage 212,運動/園藝/生活/其他
18253,花東菜市集,食品加工品
18273,茆茶屋(番頂製茶廠),茶/咖啡
18302,美味關係異國料理小館,#N/A
18369,龍窩寶藏,運動/園藝/生活/其他
18390,黑金剛農場,水果
18394,聚秀農場,農產品/原住民/花東
18419,雋荖廚房 Tung's Kitchen,食品加工品
18422,寶島手路菜 Formosa's signature dishes,#N/A
18442,雲林斗六 張大哥安心茂谷柑,水果
18449,綠映生機生產合作社,#N/A
18457,膨鼠愛葡萄,#N/A
18477,南投國姓 劉大哥砂糖橘,水果
18526,綿羊犬藝術有限公司,#N/A
18529,苗栗大湖 賴大哥無毒草莓,水果
18530,春一枝商行,冰品
18639,永大食品─檸檬工場,水果
18661,木香,運動/園藝/生活/其他
18704,2Plus桌遊設計出版社,運動/園藝/生活/其他
18720,自然主義農園,茶/咖啡
18759,陽光菓菓,#N/A
18767,Chun手作坊,運動/園藝/生活/其他
18775,幸福酪梨果園,#N/A
18799,HANCHOR,運動/園藝/生活/其他
18802,知耕鳥,#N/A
