編號,供應商簡稱,分類
46593,紅腳掌自然生態園,水果
46673,澳根尼特級初榨橄欖油,食品加工品
47009,豚屋自然生態農場,#N/A
47028,德能麗蜂業,農產品/原住民/花東
47316,梨董果園,水果
47338,老實農場,食品加工品
47392,八八百果園,#N/A
47460,水果巷,食品加工品
47542,金谷水梨,#N/A
47683,Spere 斯費爾 行李箱包專賣,運動/園藝/生活/其他
47883,嘉沛鮮鮮羊乳,牧場鮮奶
47917,農忙之餘,農產品/原住民/花東
47942,熱情果大本舖Hot Fruit,#N/A
48312,甘味果物,食品加工品
48415,飼好漁,生鮮水產/肉品
48549,阿源羊肉,生鮮水產/肉品
48620,高屏羊乳,牧場鮮奶
48695,台灣好羊乳,牧場鮮奶
48713,育牧畜牧,牧場鮮奶
48754,飛羊畜牧場,牧場鮮奶
48762,果果愛Fruitlove,食品加工品
48783,埔里特產-無毒安心農產品,農產品/原住民/花東
48904,藍田茶,茶/咖啡
48950,晶傳羊肉,生鮮水產/肉品
49001,華南羊乳,牧場鮮奶
49100,綠盛達醇萃,農產品/原住民/花東
49214,砂糖橘-光合作用果園,#N/A
49223,美香農場,水果
49572,瑞穗友善農園,水果
49643,東二巷咖啡店,茶/咖啡
49907,舞好茶,茶/咖啡
50045,酪農家,#N/A
50053,168TWN鋼化玻璃膜批發,電器3c/美妝
50064,美文的巨峰葡萄,水果
50221,瓜地馬拉精品咖啡,#N/A
50295,潺潺森活露營農場,#N/A
50321,天和極品羊,生鮮水產/肉品
50358,東阿哲麵包烘焙,甜點
50393,愛美客蕃茄農場,水果
50394,雅芯香草園,電器3c/美妝
50446,釋迦爺爺,農產品/原住民/花東
50461,宏泉淨水科技,電器3c/美妝
50521,阿波羅紅肉甜橙,水果
50547,元大開發物業管理顧問有限公司,#N/A
50567,童心農場,#N/A
50660,貝珍香頂級手工XO醬,食品加工品
50719,繭裹子Twine,運動/園藝/生活/其他
50786,多多皂坊,電器3c/美妝
50787,唐婆食品行,食品加工品
50818,鳳山阿成椰子,水果
50854,廣興商店,電器3c/美妝
50885,就柿好吃,#N/A
51316,臺灣藍鵲茶,茶/咖啡
51332,楊媽媽の手工店,食品加工品
51351,熊優栽果園,水果
51353,大峰,茶/咖啡
51434,東浙鮮麵點小廚房,食品加工品
51487,錦成養蜂園,農產品/原住民/花東
51503,林家紅棗園,農產品/原住民/花東
51566,鉅鹿堂人蔘山藥,農產品/原住民/花東
51588,豐碩果園,水果
51594,阿華老媽與老爹木瓜,水果
51598,台糖安心豚,生鮮水產/肉品
51734,Rain man Boulangerie Bistro,甜點
51736,樂木集,茶/咖啡
51805,淘氣小農,茶/咖啡
51848,HOCS好客市,運動/園藝/生活/其他
51896,高雄旗山  台灣本土黃檸檬,水果
52010,台東尚德林家果園,#N/A
52055,iThinking,運動/園藝/生活/其他
52163,安然地瓜田園,農產品/原住民/花東
52207,平圓本舖,水果
52216,悅讀森林,運動/園藝/生活/其他
52221,BigBite比格拜特,甜點
52295,豐鑫蜜麻花,甜點
52359,大禹嶺蘋果,水果
52370,有機伍村農場,#N/A
52373,在農場跳舞的貓,水果
52390,理博農業生物科技有限公司,農產品/原住民/花東
52607,西井村,食品加工品
52691,一本農場,水果
52717,喜樂屋檸檬,水果
52852,永齡選物,水果
52943,王媽媽廚房,食品加工品
52999,微笑田園,水果
53002,萬全良安企業有限公司,運動/園藝/生活/其他
53210,橘二代,水果
53219,台霖農場,水果
53258,龍鄉味,食品加工品
53388,明成軒企業社,#N/A
53510,高雄內門咖啡,茶/咖啡
53560,苗栗大湖 徐大哥無農藥豐香草莓,水果
53673,水星農場,飲料
53809,漁家樂無毒養殖場,生鮮水產/肉品
53811,原生滋味,食品加工品
53821,特瑪多有機農園,水果
53911,海鮮王,生鮮水產/肉品
53921,花蓮夏田生態農莊,農產品/原住民/花東
53925,Man Mano慢慢弄乳酪坊,食品加工品
53948,自然豬,生鮮水產/肉品
54428,原味時代-健康飲食專家,食品加工品
54430,苗栗大湖 阿強無毒草莓,水果
54973,Ringo 品菓希臘優格,食品加工品
54981,	阿罩霧微醺白草莓,水果
55106,正宗酪梨農場,水果
55237,明究香品-煙供粉水供精油,運動/園藝/生活/其他
55317,家聯有機,#N/A
55372,金后餃,食品加工品
55676,心安農場,食品加工品
55753,Catalyst,運動/園藝/生活/其他
55796,耘享濃豆乳,飲料
55835,樂活養生照護燈,#N/A
55863,多吉師、東貿,食品加工品
55894,言午茶 YANWUCHA,茶/咖啡
55931,宜大蜜蜂生物科技股份有限公司,農產品/原住民/花東
56004,職人包果,#N/A
56063,全羊商行,#N/A
56127,Neutrallo+,飲料
56136,阿甘的黑番茄店,水果
56138,旺萊獅,食品加工品
56195,方間冶所 Foundry Lab,運動/園藝/生活/其他
56271,醬好糠,食品加工品
56430,牡丹阿嬤蔬果園,#N/A
56480,鴻馨果園,水果
56564,澄藝OrangeIn,#N/A
56585,T86悅察苑,食品加工品
56586,源順食品,食品加工品
56631,風向DGTREND,食品加工品
57091,德國Poliboy居家清潔有機系列,運動/園藝/生活/其他
57137,高雄那瑪夏 阿國哥的深山野梅,農產品/原住民/花東
57206,Little by Little,食品加工品
57248,美日春,食品加工品
57291,永大健康零食館,食品加工品
57415,NICE GREEN 美蔬菜,農產品/原住民/花東
57519,烹烹頭-農物與加工,食品加工品
57698,吉菓 ichico,食品加工品
57704,優鮮購,牧場鮮奶
57764,好米芽 Homiya,食品加工品
58092,泓盛海鮮市集,生鮮水產/肉品
58145,薌園,食品加工品
58271,西班牙Borges百格仕,食品加工品
58452,AnH coffee packers,
58515,大熊農場,水果
58627,豐馥食品,生鮮水產/肉品
58743,源品精緻果園(愛文芒果),水果
58806,五風堂,食品加工品
58829,衫林豔麗荔枝,水果
58902,峰芭樂農場,水果
58907,綠創頂級芭樂,水果
59204,鼎御漢方養生飲品,飲料
59206,高雄那瑪夏 有機野放胭脂李,水果
59219,苗栗銅鑼 陳大姐無農藥芋頭,水果
59267,織眠家族ComrisHome,運動/園藝/生活/其他
59306,鈊銨實業有限公司,甜點
59404,慈恩庇護休閒農場,水果
59415,枋山吉吉愛文芒果,水果
59423,台灣上青,甜點
59432,雲林虎尾 蔡大哥玉女小蕃茄,水果
59447,幸福天地優質農莊,水果
59485,第一稻場,食品加工品
59561,高雄大樹 村長家的選粒玉荷包,水果
59740,Poco Más,食品加工品
59748,芸之香,食品加工品
59897,花東菜市集,農產品/原住民/花東
59903,勝嘉商店,食品加工品
59956,穿山甲自然生態農場,食品加工品
59960,清一太和,食品加工品
60060,唯果粒商行,冰品
60083,東哥檸檬,食品加工品
60090,新竹尖石 養老部落,水果
60107,愛呷,農產品/原住民/花東
60197,月光下友善農場,食品加工品
60383,如常甜點,甜點
60397,FUN心鮮蝦,生鮮水產/肉品
60398,柿之鄉,甜點
60428,圓方生活圈,運動/園藝/生活/其他
60502,台西玉津烘焙坊,食品加工品
60526,曉城商號,食品加工品
60543,雄哥有機檸檬園,水果
60545,農加園農產行,水果
61242,果丘in 白木耳吸凍飲專賣店,飲料
61257,全騏企業行,冰品
61258,參騏食品有限公司,飲料
61279,林家百果園,水果
61411,威力豪有限公司,運動/園藝/生活/其他
61452,J Coffee,茶/咖啡
61478,農心商行,冰品
61501,鵝鵝農場,
61512,悠活本部,
61513,木村的稻米香,農產品/原住民/花東
61751,公爵法式冰淇淋,冰品
61909,富樂果行,
61970,舞間茶心,冰品
62350,辰農有機農場,水果
62398,舞鶴茶園公主咖啡,茶/咖啡
62401,阿勳果園,水果
62491,珍馥館生態農場,水果
62656,THE DiDi SHOP,食品加工品
62715,黃河果園,水果
62834,沁園雨來菇,農產品/原住民/花東
62966,芸彰牧場台灣牛肉,生鮮水產/肉品
63279,紀家.手工泡菜,食品加工品
63305,烏山頭無農藥蕈菇場,農產品/原住民/花東
63337,台中梨山 寬伯的水蜜桃,水果
63468,瀞一,食品加工品
63512,花生什麼事,食品加工品
63671,612農場,農產品/原住民/花東
64255,郭家甜蜜蜜果園,水果
64323,eLIGHTS 姬松茸,食品加工品
64408,寵物之家,
64412,伊勢的店,食品加工品
64429,黑蒜伯,食品加工品
64445,陳家阿嬤,水果
64526,諾亞牧場,食品加工品
64586,麻豆天柚果園,水果
64667,大麥商城,
64948,Elnativo,茶/咖啡
64963,花蓮鶴岡文旦,水果
64973,泰源幽谷獼米,農產品/原住民/花東
65026,真食。手作,食品加工品
65352,甲地農莊,水果
65453,將豪農莊,水果
65820,正福茶園,茶/咖啡
66041,癮茶谷,茶/咖啡
66095,浦田竹鹽,食品加工品
66128,侏儸紀生態觀光果園,水果
66138,若崴水果商行,水果
66558,羊行,生鮮水產/肉品
66601,天菊農場,農產品/原住民/花東
66863,金賜果園,
66954,德朱利斯國際食品有限公司,農產品/原住民/花東
66990,紐西克,農產品/原住民/花東
67141,仕安合作社,農產品/原住民/花東
67143,彰化社頭 香水芭樂,水果
67174,台中梨山 謝大哥高山優質果物,水果
67178,橙十沙棘Sajie,電器3c/美妝
67235,a.o.a 天然水果軟糖,食品加工品
67271,三芝蟹蟹農場,生鮮水產/肉品
67411,李雪辣嬌,食品加工品
67459,台西聚鮮,生鮮水產/肉品
67462,我的果物日記,食品加工品
67471,灣麗水坡歐家砂糖橘,水果
67502,怡大農場,水果
67641,默默吃貨舖,食品加工品
67648,良膳之嘉,食品加工品
67733,石頭堡農場,農產品/原住民/花東
67756,原茶園,茶/咖啡
67796,郭老師寶寶副食品,幼兒相關
67854,養身黑糖-黑金磚,
67902,康樂鼓掌,農產品/原住民/花東
68058,好書果,水果
68063,台中梨山 寬伯的蜜蘋果,水果
68073,心安有機農場,農產品/原住民/花東
68153,悠綠客,水果
68156,朵多綠生菜農場,農產品/原住民/花東
68160,南投老欉砂糖橘樂園,水果
68387,台中福壽山 華姐的蜜蘋果,水果
68406,彩田友善農作,農產品/原住民/花東
68442,食膳玩家,食品加工品
68557,草本誠食,農產品/原住民/花東
68564,天然茶莊,茶/咖啡
68564,天然茶莊,茶/咖啡
68616,來來有機農場,農產品/原住民/花東
68774,綠光農園,茶/咖啡
68814,無毒豬,生鮮水產/肉品
68830,世芳有機茗茶園,茶/咖啡
68830,世芳有機茗茶園,茶/咖啡
68873,「協」字精品洋香瓜,水果
67925,阿嬤的汗水,水果
68185,晴禾農園,水果
68565,在欉紅,食品加工品
68591,九四健康蛋,農產品/原住民/花東
68599,耘初黑豆所,茶/咖啡
68604,林有志,茶/咖啡
69049,黑蒜將軍,食品加工品
69095,釀幸福,食品加工品
69175,鼎勝養蜂場,農產品/原住民/花東
69219,茲心生態農場,食品加工品
69220,穀咕寶寶,食品加工品
69241,邱伯伯開心農場,水果
69335,平埔黑豬,生鮮水產/肉品
69370,抬頭排骨,生鮮水產/肉品
69450,劉家庄,食品加工品
69499,谷芳茶園,茶/咖啡
73480,遠足生態農場,農產品/原住民/花東
64053,禾新農庄,水果
68555,箴品茶研,茶/咖啡
68398,高山農場,食品加工品
73455,裸廚房,食品加工品
73456,淨湖友善草莓聯盟,水果
33023,識魚郎,生鮮水產/肉品
74517,青農有機草莓園,水果
67617,永璨體育登山用品社,運動/園藝/生活/其他
73350,郭老師養生料理,食品加工品
74771,關西無毒草莓園,水果
75098,鮮魚菜,農產品/原住民/花東
6669,明智幸福棗園,水果
74540,有的梅的 自然元素,農產品/原住民/花東
74038,東成茶葉,農產品/原住民/花東
75475,香菜先生,食品加工品
76124,欣琦果園,水果
76119,草莓世界,水果
64201,嗨嗨千層手工蛋捲,甜點
64344,上校有機農場,水果
75940,歐客佬精品咖啡農場,茶/咖啡
76226,豐哥嚴選,電器3c/美妝
75647,金洺自然農場,農產品/原住民/花東
74982,無思農莊,食品加工品
76225,玖2食務所,生鮮水產/肉品
75969,果木小薰,生鮮水產/肉品
76074,新城風糖,食品加工品
76457,寶香柑桔,水果
76520,宇還地有機農場,農產品/原住民/花東
76643,蘭陽金柑,水果
76692,斯布特芽田,農產品/原住民/花東
76745,新味醬油食品工廠,食品加工品
76764,耕園農場,水果
76961,吉谷農園,水果
76980,花田果室,水果
77096,好旺村,食品加工品
77363,萬金畜牧場,生鮮水產/肉品
77047,九日風,甜點
77365,魚鱻森,生鮮水產/肉品
77446,胡班長荔枝園,水果
77161,乙木羊農牧,牧場鮮奶
77422,協發行泡菜,食品加工品
77730,南澳基因有機農場,食品加工品
77766,大棟開心農場,農產品/原住民/花東
77645,台中新社彭家果園,水果
78056,活力東勢,飲料
77356,江夏堂,生鮮水產/肉品
77403,阿貴的築夢梅園,水果
78133,蜂蜜皇后,農產品/原住民/花東
76448,EddieWoW Coffee 艾迪瓦屋,甜點
76553,花旗松鬆節膏,運動/園藝/生活/其他
77627,西班牙Lectus樂食橄欖油,食品加工品
78574,赤科山露予莊園,茶/咖啡
69632,女兒不懂茶,茶/咖啡
78346,毛家三地門芒果園,水果
78744,天美果園,水果
78299,大吉先生烘焙坊,甜點
78963,發電雞,生鮮水產/肉品
78923,彰化溪湖 陳家溫室葡萄,水果
79273,晨照溫室農場,水果
79339,魚之達人,生鮮水產/肉品
79428,珍好食,食品加工品
79792,壽豐鄉農會 果艷西瓜,水果
79590,鴨迷,食品加工品
79591,蓁果芒果,水果
79638,康納歐夫生機莊園,水果
80012,阿財綠竹農場,農產品/原住民/花東
78958,日萃山苦瓜喬麥飲,飲料
79236,好食蔬,農產品/原住民/花東
80014,饕海鮮,生鮮水產/肉品
80073,安發蔬果溫園,
80442,新社果菜合作社,農產品/原住民/花東
80185,陳爸的白頭翁果園,食品加工品
80548,莊爸大樹荔枝園,水果
80742,阿金姐工作坊,食品加工品
80641,玉井郭家果園,水果
80814,市外桃園,水果
80748,草皮在養農場,水果
80229,苗栗泰安 深山裡的紅肉李,水果
67936,坤昌農場,水果
63822,GOLDMEDAL海老仙貝燒&彎腰蝦餅,食品加工品
42659,阿娟優格,食品加工品
81024,和牧優質牛肉,生鮮水產/肉品
81111,八里區農會,農產品/原住民/花東
81325,冰菓。手作冰棒,冰品
81817,感恩農場,水果
81721,台中太平 張家荔枝園,水果
82069,馬烈霸部落的果園,水果
41783,蘿拉百果園,水果
76060,台南玉井 發哥芒果園,水果
60090,新竹尖石 養老部落,水果
82751,游漁耕有機農場,水果
80392,30果風,食品加工品
80737,UNIWASH-農友好,運動/園藝/生活/其他
82620,怡文農業生技,食品加工品
83131,苗栗公館 富羽有機紅棗,水果
83178,草莓達人農場,農產品/原住民/花東
83197,好蝦冏男社,生鮮水產/肉品
83733,新興果園,水果
83534,迷戀235,水果
83689,五梅牧場 玻璃瓶鮮乳,牧場鮮奶
83956,梨山黃家果園,水果
84060,良森果園,水果
83994,新生活 隨手瓶系列,牧場鮮奶
84536,御品蓮休閒農莊,食品加工品
84206,天照農場,農產品/原住民/花東
84180,美樂地有機農場,水果
75377,優美梨香園,水果
84943,江媽媽的果園,水果
83910,彭奶奶的果園,水果
83962,漁樂商行,生鮮水產/肉品
84445,開心果園,水果
85589,班長的梨園,水果
85231,Condelux,運動/園藝/生活/其他
82711,晶鱻烏金,食品加工品
85864,番路鄉農會,食品加工品
84763,梨山許家蘋果園,水果
81056,一凡茶作,茶/咖啡
82749,鬱金女王闌姐,農產品/原住民/花東
86153,田蜜心果園,水果
85596,粨種人,食品加工品
86184,原穀傳說,農產品/原住民/花東
85248,祥銓農創,電器3c/美妝
86357,豪柚到果園,水果
86443,春霖山園,水果
85226,龍岫良米,農產品/原住民/花東
86748,麻豆紅柚伯,水果
86821,心心農場,水果
86820,苗栗湧哥的黃金大閘蟹,生鮮水產/肉品
86489,白布帆花姐農場,水果
86781,台灣製｜戶外/登山/野營/救難濾水器｜,運動/園藝/生活/其他
86824,DLIC TEA,茶/咖啡
87130,永田農家,水果
87262,朱家果園,水果
86185,台灣秀摩,農產品/原住民/花東
85221,長濱富麗自然農園,農產品/原住民/花東
80952,添丁養生黑木耳,農產品/原住民/花東
87714,吉利無毒友善農場,農產品/原住民/花東
87530,丸那水餃坊,食品加工品
87886,2060太空吧,食品加工品
88115,JAKYN fruit,水果
87881,柿子哥的果園,水果
88271,黃嘉銘有機農場,農產品/原住民/花東
88029,五告站農場,水果
88270,蔣老爹無味精手工水餃,食品加工品
88633,Smile果物獻禮,水果
88698,南投信義彭家葡萄園,水果
40427,奕利的店,食品加工品
88731,朵貓貓良品,農產品/原住民/花東
88727,小農有機日記,農產品/原住民/花東
88711,東佳畜牧場,食品加工品
88833,果樂園,水果
88861,勁鮮水產直送,生鮮水產/肉品
85425,桔之緣農場,水果
87209,芯安鮮果宅配送,水果
89168,良食糧十農坊,水果
89096,金池農特產品,水果
89206,譚家柑園,水果
88969,鮮豆老爹soyapapa,飲料
89338,十八麥,農產品/原住民/花東
89256,澎湖區漁會,生鮮水產/肉品
89077,桃梨城柿,水果
89258,夏日情人果園,水果
89474,自家莊園,水果
89317,恩居好食,甜點
89686,漾愉生態漁場,生鮮水產/肉品
89687,食誠良品,食品加工品
89698,朵朵心手工烘焙製造所,食品加工品
89858,老林記,食品加工品
89894,和春堂,食品加工品
89518,狠蝦霸,生鮮水產/肉品
89923,大埔有機農場,水果
89920,豐樺水產,生鮮水產/肉品
90066,十八養場,生鮮水產/肉品
90079,華文堂農場,水果
89918,粿老爺手工蘿蔔糕專賣店,食品加工品
90393,承磊科技農園,農產品/原住民/花東
90392,蕉個朋友芭,水果
90496,台灣有機棉,運動/園藝/生活/其他
89547,謝大哥的安心蔬果園,水果
87833,臺一蜂業養蜂園,農產品/原住民/花東
77878,芳盈食品,甜點
84837,台南麻豆 張姐的文旦柚,水果
60877,彰化社頭 陳大哥的老欉黑葉荔枝,水果
74820,全口味食品,食品加工品
90591,御祥食品,食品加工品
90188,山田大叔,生鮮水產/肉品
90688,老師傅手工湯圓,食品加工品
90029,陳記手工元宵,食品加工品
90654,台南東山曾家果園,水果
90609,小魚種菜,農產品/原住民/花東
90971,耕心好物,食品加工品
90788,山上阿德,水果
90562,詠統生物科技股份有限公司,食品加工品
90975,港式點心阿伯,
90407,味榮柑仔店,食品加工品
90860,鉅鹿堂人蔘山藥,農產品/原住民/花東
91336,員崇果園,水果
91432,屏東蔡家芒果園,水果
91533,有鉗真好,生鮮水產/肉品
91403,魏氏茶業,茶/咖啡
91849,聯利牧場 靈芝土雞蛋,農產品/原住民/花東
91756,初音印奇自然農園,茶/咖啡
91152,青出宜蘭,電器3c/美妝
91920,永在林業,農產品/原住民/花東
92200,餃子樂,食品加工品
91890,日光集物所,食品加工品
92283,梅嶺林家梅園,水果
91886,根源 TWBwood,運動/園藝/生活/其他
87116,奧丁丁鮮奶組合任選專區,牧場鮮奶
91890,日光集物所,食品加工品
91856,另一個胃甜點工作室,甜點
92349,五甲木農產,水果
92327,北海漁鋪,生鮮水產/肉品
92599,慧軒農場,農產品/原住民/花東
92684,李桑的有機桑葚,水果
92660,蘇丹燕窩,食品加工品
92125,樂樂木,運動/園藝/生活/其他
92200,餃子樂,食品加工品
92283,梅嶺林家梅園,水果
92327,北海漁鋪,生鮮水產/肉品
92349,五甲木農產,水果
92599,慧軒農場,農產品/原住民/花東
92660,蘇丹燕窩,食品加工品
92684,李桑的有機桑葚,水果
92698,DB BREWERY,飲料
92796,優捷國際企業有限公司(除垢隊長),運動/園藝/生活/其他
92854,海藏花苑,運動/園藝/生活/其他
92941,阿岳哥的老梅園,水果
93147,盈盈農圃,農產品/原住民/花東
93203,閃電包子舖,食品加工品
93386,饌品美食,生鮮水產/肉品
93415,部落易購,農產品/原住民/花東
93417,綠光牧場,牧場鮮奶
93453,植感花藝,運動/園藝/生活/其他
93662,劉大哥的水蜜桃農場,水果
93666,魚有王,生鮮水產/肉品
93892,楠西頂湖農場,農產品/原住民/花東
93921,阿湯古風鹽焗雞,生鮮水產/肉品
94167,高雄大樹 返鄉青年的玉荷包,水果
94253,黑女婿西瓜,水果
94306,米發發養生堂,食品加工品
94519,萬寶臘味工坊,食品加工品
94623,可可雅米巧克力,食品加工品
94902,新竹內灣 鵝姐野薑花粽,食品加工品
95002,玉井芒果樂園,水果
97505,鮮知道,農產品/原住民/花東
98272,吉瓜愛手作坊,運動/園藝/生活/其他
98329,麻豆助碗粿,食品加工品
98527,蜜思朵Medolly,食品加工品
98771,DAY JUICE 果日飲,飲料
98795,台灣雜糧隊,食品加工品
98807,犇馳Bango,食品加工品
98913,台中福壽山 完熟西瓜李,水果
98971,生發號農產,食品加工品
99156,灣裡幸湖農莊,農產品/原住民/花東
99173,富春水產,生鮮水產/肉品
99326,鍾伯伯的果園,水果
99349,公館鄉農會,水果
99354,農場晃晃,生鮮水產/肉品
99395,普一吳師傅烘焙坊,食品加工品
99510,Southrom,電器3c/美妝
99542,檸檬森林,水果
99574,Gumo龜毛手作生吐司,食品加工品
99575,光世企業有限公司,農產品/原住民/花東
99596,安安益身蛋,農產品/原住民/花東
99673,知果嚴選,水果
99706,愛瑞雅水品牌,飲料
99870,高海拔梨山果園,水果
99902,掌生穀粒糧商號,農產品/原住民/花東
100090,農匠科技農業,農產品/原住民/花東
100291,方方有果,水果
100334,木可蘿蔔糕,食品加工品
100511,嘉義黃金板栗,農產品/原住民/花東
100638,八方茶業,茶/咖啡
100845,食創新煮,食品加工品
100948,頭城月芭樂,水果
101287,栗煬甲魚,運動/園藝/生活/其他
101633,台灣優質果-標爸爸柚柚班,水果
101713,江大哥的有機木瓜園,水果
101874,菖樺X小惡魔創意冰品甜點,冰品
101890,悅好物集,食品加工品
101902,倍事手工蛋捲,食品加工品
101903,澡皂小行,運動/園藝/生活/其他
102134,加拿大 ZAVIDA 雅菲達,茶/咖啡
102178,食在幸福雪花餅,食品加工品
102502,得魚昇鮮,生鮮水產/肉品
102917,松滿緣有機農場,農產品/原住民/花東
103012,嘉義好柿園,水果
103511,阿丸甜甜圈,甜點
103634,日沐茶食 RIMU tea&chips,食品加工品
103706,芙芮蕬仙肉樂園,運動/園藝/生活/其他
103812,老事在幹嘛,甜點
103817,昱昱的玩具屋,運動/園藝/生活/其他
103854,果寶生技購物商城,飲料
103897,植想見泥,運動/園藝/生活/其他
105092,宜蘭人故事館,食品加工品
105108,肉球糧行 Paws Brothers,運動/園藝/生活/其他
105315,拉拉山阿伯農場,水果
105367,香氛森林,運動/園藝/生活/其他
105608,黑糖道,甜點
105643,奧丁丁洋行,水果
106153,彙饌私廚,食品加工品
106523,揪柑心深山果園,水果
106608,林家冠軍烏魚子,食品加工品
107147,小紅蕃農場,水果
107757,毛爽爽,運動/園藝/生活/其他
108592,樂山莊鱘龍魚,生鮮水產/肉品
108650,瓔珞莊園手作花坊,運動/園藝/生活/其他
109633,克羅農場,水果
109779,球球館,運動/園藝/生活/其他
109885,集賢庇護工場,食品加工品
109930,專業農,農產品/原住民/花東
109971,元茂農產,農產品/原住民/花東
110197,有隻住在阿里山腳下的金緗雞,生鮮水產/肉品
110276,大春金寶農場,水果
110327,飯友食品,食品加工品
110565,大樹張媽媽休閒農場,水果
110605,家‧GAIA,水果
111979,水產優,水果
112012,曾大哥的蜜桃園,水果
112407,ZERO BOTTLE,運動/園藝/生活/其他
112452,玥沐嚴選,食品加工品
112728,昇泰有機休閒農場,水果
113226,甜野星新,甜點
113361,妞妞果園,水果
113703,朱家麻花捲,食品加工品
113886,蜂巢蠟筆_日本製兒童無毒蠟筆,運動/園藝/生活/其他
114107,名記貢糖,食品加工品
114456,東東生態農場,水果
114827,金賀伯農場,農產品/原住民/花東
115648,桂園自然生態農場,農產品/原住民/花東
116296,元初豆坊,飲料
117021,徐張氏有機農場,農產品/原住民/花東
117075,天時莓果,水果
117340,高鑑雲林大蒜,農產品/原住民/花東
119928,承昌食品,食品加工品
120244,葉老爹果園,水果
121397,FruitGo,水果
121626,好釋成真,水果
122075,麻姥姥手工餅舖,食品加工品
122080,德衛夏威夷蜂蜜,農產品/原住民/花東
122166,依琦匠子,甜點
122246,鮮一杯,茶/咖啡
122531,九日鳳梨農場,水果
122607,彰化縣埔心鄉農會,食品加工品
124187,翔琪檸檬茶,茶/咖啡
125094,陳記豆腐養生恬點,冰品
125165,赫家人米食製造所,食品加工品
125198,北玉山農產行,水果
125214,澎湖太祖堂一條根★滿千贈推拿乳霜！,運動/園藝/生活/其他
125355,宏展農場,農產品/原住民/花東
125476,自在食刻蒟蒻麵,食品加工品
125494,善果園,水果
125548,好美農漁產,生鮮水產/肉品
125595,果果農,水果
125677,MELISSA精品蜂蜜★全館不限金額送膠原蜂膠錠一盒,農產品/原住民/花東
125742,明賢果園,水果
125768,布萊恩食品手作坊,食品加工品
125860,小蜻蜓芒果園,水果
125873,大坑柑橘園,水果
125937,紫皇百香果,水果
125958,奧丁丁必喝鮮奶組合,牧場鮮奶
126041,蔣府宴,食品加工品
126291,友善契作大聯盟新北專區,農產品/原住民/花東
126406,大原山農場,水果
126492,糧莘農場,農產品/原住民/花東
126580,上安農場,農產品/原住民/花東
126650,大食客吉團,食品加工品
126826,大武山鮮果農場,水果
126835,芙生畱季,運動/園藝/生活/其他
126862,大王千金,甜點
126876,花田喜,甜點
126878,植人藝果,水果
126891,函漾莊園,農產品/原住民/花東
126957,香果園,水果
127093,好食多手作坊,食品加工品
127125,晰穀SeeGrains,農產品/原住民/花東
127182,銀圳花草皂坊,運動/園藝/生活/其他
127185,築水引,食品加工品
127200,wood甜點手作坊,甜點
